precinct_text_designation,Count
000,141
0001,2528
0002,570
0003,25
0004,324
0005,489
0006,354
0007,574
0008,304
0009,960
001,7237
001.1,112
0010,633
0011,988
0012,1502
0013,1284
0014,1602
0015,1917
0016,1969
0017,924
0018,1024
0019,831
002,7350
0020,553
0021,3351
0022,1424
0023,1251
0024,1620
0025,2600
0026,1371
0028,1814
0029,1424
003,10945
0030,2041
0031,4337
0032,2549
0033,2192
0034,292
0035,952
0036,2118
0037,2269
0038,2078
0039,3467
004,4116
004.1,320
004.2,153
0040,261
0041,643
0042,2371
0043,2538
0044,2562
0045,746
0046,2937
0047,2332
0048,1826
0049,1352
005,5223
005.1,293
0050,1237
0051,3330
0052,2701
0052C,309
0053,2074
0054,1185
0055,276
0056,1397
0056B,16
0056C,5
0056D,4
0057,1197
0058,1582
0059,3163
0059A,223
006,3016
006.1,50
006.3,187
0060,282
0061,2
0061A,6
0061B,36
0061D,153
0061F,2
0062,1237
0063,1555
0064,1435
0065,1436
0065A,69
0066,1259
0067,456
0067A,5
0068,620
0069,155
007,3836
0070,36
0071,192
0072,1621
0073,1324
0074,1482
0075,236
0076,478
0077,25
0078,3
007A,23
008,3535
008.2,77
0080,837
0081,562
0082,501
0083,12
0084,261
0085,372
0086,1145
0087,938
0089,180
009,3638
009.3,384
0090,501
0091,764
0092,552
0093,567
0094,664
0095,591
0096,447
0097,74
0099,112
01,5927
010,3024
010.1,163
0101,453
0102,1742
0103,702
0104,728
0105,1995
0106,3390
0107,2051
0108,1404
0109,1576
011,5172
011.2,88
0110,1920
0111,481
0112,1798
0113,1750
0114,1667
0116,2209
0117,1816
0118,2011
0119,1666
012,3146
012.2,349
0120,1618
0121,1267
0122,2810
0123,390
0126,383
0127,39
0128,1447
0129,571
013,4872
0130,1119
0133,44
0135,453
0136,882
0137,1541
0138,1927
014,5087
014.1,18
014B,471
015,4775
016,3878
017,4206
018,2683
018 A,481
019,2057
01A,618
01B,635
01C,1112
01D,828
02,10533
02.1,3286
02.2,6
020,4624
020 A,472
0201,545
0202,427
0203,446
0204,417
0205,1237
0206,1114
0207,3447
0208,1030
0209,2300
021,2349
0210,2788
0211,1325
0214,1923
0215,2999
0216,1577
0217,1923
0218,3328
022,5507
0221,1161
0222,1245
0223,1774
0224,3380
0225,3764
0226,2261
0227,1518
0228,2574
023,2847
0230,105
0233,838
0235,567
0236,1119
0238,270
0239,99
024,2758
024.1,339
0240,344
0241,185
0242,334
0243,68
0246,263
0247,472
0248,47
0249,1566
025,1780
025 A,1878
025.1,459
0250,728
0251,677
0252,780
0257,1
025A,60
026,3682
026.01,245
026B,671
027,2320
027.1,112
028,2367
028B,807
029,2281
029 A,1021
02A,382
02B,514
02C,459
02D,452
02E,387
03,5094
030,943
0301,1512
0302,2436
0303,1514
0304,1312
0305,807
0306,2646
0307,2095
0308,2224
0309,773
031,1882
0310,2047
0312,932
0313,2443
0314,2108
0315,1859
0316,1186
0317,21
0318,239
0319,574
032,2022
032.1,242
0320,663
0321,94
0324,924
0325,1168
0326,185
0328,146
033,1736
033 A,383
033 B,291
033 C,74
033.1,86
0330,1620
0331,390
0332,867
0333,1230
0334,830
0335,643
0336,276
0339,1973
034,1982
035,2605
035B,511
036,3331
037,3149
037 A,462
038,1856
038 A,91
038B,391
039,2725
03A,594
03B,495
03C,695
03D,438
03W,115
04,5558
040,2615
0401,1539
0402,1539
0403,1443
0404,3327
0405,1568
0406,2291
0407,565
0408,2228
0409,1448
041,2010
0410,2752
0411,142
0412,3689
0413,2472
0414,1087
0415,328
0416,1184
0417,1316
0418,1854
0419,1294
042,2075
042.1,75
0420,1703
0422,1188
0423,1699
0424,854
0425,2638
0426,218
0429,996
042B,504
043,3583
0431,76
0433,758
0434,2
0437,1023
0439,3
044,1245
0444,151
0445,736
0446,242
0447,303
0448,131
0449,676
044B,434
045,2796
046,2950
046 A,207
046B,1249
047,3070
048,3467
049,1908
049B,275
05,5794
050,2090
050 A,520
0501,432
0502,486
0503,2830
0504,2072
0505,522
0506,2475
0507,2335
0508,2051
0509,2331
050B,72
051,754
0510,2662
0511,654
0512,4112
0513,1847
0514,2857
0515,2225
0516,1280
0517,1270
0518,1588
0519,1848
052,1742
0522,1563
0523,1539
0524,2380
0525,1847
0526,2061
0527,2034
0528,2
052B,89
053,802
0530,1975
0531,2794
0534,239
0539,1916
053B,998
054,1843
054 A,425
0541,3
0544,217
0545,849
055,1266
055B,85
056,1555
056B,24
056C,90
057,2134
057B,204
057C,100
058,704
059,934
0591,226
059B,73
05A,160
05B,117
05C,105
05W,87
06,4343
060,1727
0601,3173
0602,2981
0603,1159
0604,2854
0605,1343
0606,1151
0607,2404
0608,2593
0609,4045
061,1626
0610,1735
0611,1219
0612,2245
0613,1807
0614,1234
0615,3155
0616,1456
0617,1036
0618,722
0619,1836
061B,292
062,2280
0621,616
0622,2134
0623,2220
0624,219
0626,20
0627,126
0629,119
063,1599
0630,5
0632,795
0633,811
0634,303
063B,315
063C,569
064,271
064B,1
065,286
065B,19
065C,3
065D,4
065E,32
066,1419
066B,3
066C,293
067,163
067A,762
067B,366
067C,106
068,49
069,898
06W,61
07,6863
070,990
0701,481
0702,508
0703,549
0704,545
0705,425
0706,391
0707,409
0709,356
071,2797
0710,428
0711,612
072,1128
073,551
074,3400
076,187
077,3
077B,699
078,528
079,232
07B,45
07D,444
08,5171
080,257
0801,475
0802,461
0803,563
0804,542
0805,748
0806,369
0807,496
0808,425
0809,530
081,209
0810,386
0811,563
082,610
083,442
084,606
09,5422
090,181
0901,145
0902,439
0903,690
0904,566
0905,565
0906,617
0908,879
0909,386
091,135
0910,848
0911,433
0912,292
092,185
1,1648
10,4604
100,594
1000,437
100000,58
1000000,219
100001,1353
100001A,875
100002,2387
100003,1510
100004,55
100004A,2121
100005,2582
100006,1574
100006A,1186
100007,390
100007A,29
100009,36
100009A,101
100012,5
100035,4
1000EF,93
1001,716
1002,1663
1003,1429
1004,2167
1005,488
1006,574
1007,532
1008,584
1009,348
101,1365
1010,571
1010001,39
1010002,61
101001,23
1011,1693
1012,486
1013,734
1014,875
102,6
1021,1261
1022,540
1023,835
1024,685
103,4
1031,2447
1032,694
1034,958
1042,525
1044,633
10501,50
1052,972
1054,1157
1064,177
107,2
10A01,90
10NO,199
10SO,493
11,6361
11.5,234
110,103
1100,789
1100003,99
1100004,130
110001,2142
110002,2095
110002A,110
110003,1418
110003A,303
110004,1058
110007,462
110007A,742
110009,186
11005A,223
11005AA,443
11006A,573
11006AA,448
1101,2745
1102,2145
1102A,153
1103,1119
1104,1535
1105,1617
1106,513
1107,545
1108,553
1109,570
111,3
1110,366
1111001,57
1111002,68
1111003,91
112,4
11201,2
114501,46
116,2
118,2
11A,24
12,7833
12.4,114
120,291
1200,243
1200000,160
1200001,42
1200002,54
1200003,26
120001,146
120001A,109
120002,613
120003,1118
120004,1259
120005,1049
12004A,90
12004B,135
12005A,1014
1201,589
1202,555
1203,519
1204,605
1205,500
1205A1,494
1205A2,352
1206,681
1207,750
1208,593
1209,975
121,3
1211,862
1212001,260
1212002,66
1212003,37
1212004,350
1213,602
1214,537
1215,909
1216,1041
1217,8
1219,119
1220,686
1231,430
125501,58
12B,661
13,6004
13.4,420
13.5,136
1300000,113
130001,190
130001A,205
130002,820
130003,1162
130004,1656
1301,2
1302,280
1305,55
1306,203
1308,9
1309,170
1310,2175
1312,987
1320,3377
1321,149
1322,130
1330,336
135001,60
14,8533
14.5,175
1400000,200
140001,642
140002,1004
140003,943
140004,383
140004A,64
1401,925
1402,819
1403,456
1404,1086
1405,485
142501,56
15,5916
1500000,213
150001,1183
150002,712
1501,851
1502,546
1503,78
16,3591
1600005,161
1600006,292
160001,1567
160002,1267
17,3753
1700007,73
1700008,78
18,1781
1800009,100
1800010,47
18A,70
19,4565
19.1,2333
1900011,69
1900012,52
1A101,79
1A5201,29
1B,22
1B1,149
1B10001,1145
1B10002,1311
1B201,113
1C,417
1C10001,709
1CUN,647
1D10001,99
1E,426
1H0011,352
1H0021,939
1H0031,783
1H0041,165
1L101,348
1L201,437
1M4201,416
1M4202,318
1M4203,497
1N10001,74
1S01001,244
1S01002,314
1W,439
2,2032
20,6377
200,1124
2000,40
200000,24
2000000,94
200002,219
200003,148
200004,518
200005,243
20002,487
2000GR,124
2001,533
2002,175
2003,652
2004,2
2005,6
2007,2
2008,6
2010,4
20101,476
2011,34
2013,1
2014,4
2016,14
2017,3
2018,4
2019,259
2020,2
20201,437
2021,32
2022,95
2024,2
2025,31
20NO,504
20RS,19
20SO,505
21,3570
210001,553
2100013,69
2100014,57
210002,824
210005,1149
2100101,35
2110000,500
2110001,54
2120000,719
2120001,65
2130000,740
2140000,9
2140001,439
22,2584
220001,273
220010,54
2200201,133
2201,1486
2202,713
2203,662
2204,206
2250001,99
2250015,77
2250016,271
2260017,63
2260018,262
23,4326
2300000,84
230002,45
2300301,524
2300304,334
2370001,169
24,4482
2400019,91
2400020,473
2400401,76
2460001,83
25,2796
2500000,97
26,5708
2600501,123
2610000,670
2620000,598
2630000,466
2640000,587
26EH102,122
27,2047
27.1,437
28,3831
2800601,215
29,1012
2900701,107
29D,4
2B4401,392
2C,64
2C20001,331
2C5401,22
2CRC,502
2D701,626
2E,42
2E101,76
2E20001,714
2H0012,459
2H0022,368
2H0032,251
2I2,63
2J02,35
2T20001,170
2W02001,35
3,301
30,4491
3000,132
300000,63
300001,96
300002,65
300003,26
300004,475
300006,501
30003,134
3000HW,429
3001,15
3002,1
3003,3
3004,1
3005,125
3006,15
3009,215
3010,1071
30301,226
30NO,607
30SO,227
30WI,145
31,2317
310,254
310001,1311
310002,1212
310004,768
3100801,41
32,3200
320,523
33,1994
330003,144
330011,104
3301,391
34,281
35,905
36,1649
37,2806
38,1105
39,1521
3C4601,76
3CNT,412
3F0002,127
3F501,54
3G,342
3G30001,281
3G5601,71
3H50001,464
3K3,76
3O801,325
3O802,398
3O803,228
3R0014,54
3R02,984
3Y30001,495
3Y30002,405
4,311
40,406
400,572
4000,33
400001,71
400002,614
400003,158
400006,192
40004,595
4000LG,181
4001,110
4002,314
4006,138
4007,244
40401,129
41,143
410001,737
410002,620
410003,438
4110004,737
42,358
420001,720
420002,1580
4220004,845
43,1838
430001,619
430002,1026
430003,867
430004,2066
4330004,545
44,2008
440001,857
440002,1303
440003,1007
440004,431
440012,377
4401,59
45,1526
450002,182
46,705
47,843
48,1916
49,334
4A,4
4B,10
4C,7
4C02,542
4COS,733
4D4801,212
4H,1332
4H40001,36
4J701,263
4K5801,334
4L4,51
4L70001,15
4M0015,142
4N601,218
5,1471
500,98
500000,107
500008,884
500009,415
5000ML,249
51,397
51.4,50
5100,313
51000,795
52,413
5200,121
52000,525
53,1171
5300,137
53000,1031
53001,65
54,258
5400,577
54002,396
54003,397
55,175
55000,720
550001,33
55001,39
550013,117
5501,519
56,675
57,2672
57.2,36
570002,475
58,3770
59,818
5COZ,496
5F0016,172
5I,3667
5L6001,154
5M401,595
5M5,61
5P201,77
5S50001,23
5S80001,55
5T5001,172
6,1151
60,1788
60.3,11
60.4,15
60.5,24
600,50
600000,34
600011,169
6001,510
6002,2
6003,86
6004,6
6005,27
6008,3
6009,2
6010,14
6011,9
6013,10
6014,5
6016,35
6018,5
6019,11
6021,18
6024,2
6025,1
6026,6
6032,43
61,6598
61.2,35
6100,311
610000,713
62,4070
6200,242
620000,581
63,1617
6300,229
630000,534
630001,4
64,771
6400,501
64001,61
65,315
66,167
660001,448
660002,491
660003,448
660004,333
66001,266
66002,68
6601,29
69,54
6A,2
6CKY,660
6G0002,166
6K02,234
6L,307
6R0017,134
6R601,46
6S6,206
6S60001,51
6S6201,452
6S6202,513
6S6203,263
6T90001,653
7,296
70,820
700,81
7000,25
700000,60
700004,943
7001,1
7002,760
7004,767
7005,36
7009,45
7010,2
7011,189
71,172
71501,34
72,5
73,123
74,11
75,661
76,94
760002,39
77,889
770001,353
770002,564
770003,603
77001,38
770015,98
77001A,47
77002,99
7701,284
78,294
79,254
7CDE,752
7E0018,187
7F02,57
7T70001,137
7V7,136
7W30001,864
7W301,22
8,160
80,125
800,37
800000,100
800001,154
800002,62
800003,88
800004,77
800005,56
818,518
82001,86
829,753
8310,647
8411,851
880001,192
88001,68
880016,32
88002,26
8801,39
8C60001,100
8CJF,336
8M,315
8N02,745
8W0019,21
9,59
90,94
900,594
900000,119
9001,451
9002,4
9003,126
9004,23
9005,23
9007,375
9008,2
9009,1
900A,8
900B,2
9010,627
9011,2
9012,5
91,46
93,37
93501,70
96,2
99001,81
99001A,65
99002,58
9901,81
9H001D,27
9M02,124
9P001A,43
9S,60
A00001,181
A00002,91
A001,1648
A002,1033
A003,1324
A006,239
A007,292
A1,1035
A100,242
A100001,300
A100014,62
A1000A1,61
A1063,161
A11,796
A12,426
A13,907
A14,295
A140000,457
A15,459
A1602,19
A1RDE,566
A2,1087
A200,1261
A2000A2,61
A200A,7
A200B,1
A200D,1
A21,329
A22,585
A250000,111
A2801,45
A2REA,719
A2RWE,578
A3,904
A300,48
A3000A3,69
A31,183
A310002,31
A3702,43
A380000,169
A3RJF,501
A4,602
A400,111
A4000A4,347
A400A43,77
A400A4N,27
A400A4W,1
A42,306
A4300A4,19
A4300A5,51
A460000,39
A4703,50
A4a,142
A4b,190
A4c,188
A4RKW,1057
A5,484
A500,45
A500009,128
A50001,257
A5000A5,424
A500A54,50
A5202,50
A570000,75
A5RKY,577
A6,967
A600,192
A6000A6,195
A600A,76
A61,215
A620002,198
A6704,42
A6RNT,203
A7,1503
A700,150
A7000A7,98
A71,434
A7403,93
A7ROS,788
A8,840
A800,142
A800011,6
A8000A8,277
A8003A8,6
A81,57
A8200A8,29
A8202A8,53
A8802,29
A8E,61
A8ROZ,773
A9,374
A900,48
A900A,86
A91,395
A9102,41
A92,197
A93,382
A95,473
A9C,67
A9N,39
A9RRC,1665
AB00072,53
AB00102,40
AC00073,283
AD,122
AD3,10
AD9,138
AF,1197
AG,114
AL,23
AL00001,612
AL00033,138
AR,96
AS001,44
AS60002,77
AT,237
AT00034,76
AT01,24
AT02,112
AT03,782
AT05,307
AT06,107
AT07,7
AT08,97
AT12,64
AT13,4
AT15,10
AT16,2
AT22,151
AU0AU,17
AV00001,287
AV400,47
AV80001,37
B00003,81
B001,1144
B002,1
B005,7
B006,2
B008,5
B009,3
B1,804
B100,325
B100015,37
B1000B1,444
B100A,28
B1502,61
B1RRU,600
B2,727
B200,128
B2000B2,207
B2203,13
B280016,32
B2RSA,665
B3,876
B300,364
B300010,26
B3000B3,73
B300A,192
B300B,263
B3103,31
B3RUN,638
B4,538
B400,59
B4000B4,297
B4204,19
B4E,99
B4RSA,154
B5,339
B500,125
B5000B5,106
B5803,53
B5N,87
B5RUN,44
B6,296
B600,240
B6000B6,60
B6302,68
B700,133
B7104,38
B800,93
B800A,25
B8303,48
B900,612
B9804,17
BA,435
BA00802,61
BA01,2262
BA02,1815
BA0201,52
BA03,2994
BA04,4
BA101,38
BA20000,174
BAA,91
Banner,106
BC,384
BE,48
BE00035,45
BE0201,473
BE0401,34
BE202,221
BE502,188
BE90001,157
BEA,283
BFM,64
BG01NO,517
BG02SO,122
BG70002,32
BH40002,24
BHT,85
BL,42
BL00005,89
BL0401,95
BL0601,33
BL301,53
BL4,29
BLA0001,64
BM00001,171
BNT,61
BO5,26
BOA0000,116
BRW000,199
BS01-01,1236
BS02-01,1067
BS03-01,1299
BS04-01,1628
BT00402,39
BU,139
BU00074,928
BU0601,76
BUB,302
BUB1,37
BW002,77
C00004,113
C001,2295
C002,11
C003,1408
C004,1312
C006,2312
C007,34
C008,745
C009,2275
C010,1408
C013,1443
C014,1029
C017,3
C019,411
C020,833
C022,119
C023,2
C1,555
C100,21
C100009,42
C1603,50
C1W,5
C200,126
C2304,27
C2a,1728
C2b,561
C2E,2
C300,176
C3305,40
C3a,507
C3b,386
C4,412
C400,145
C4604,20
C4a,277
C5,61
C500,65
C5205,46
C5a,75
C5b,115
C600,223
C6503,43
C700,141
C7105,29
C8,415
C800,278
C900,84
CA,131
CA00036,238
CA003,47
CA20002,38
CA700,58
CAB,115
CAN,145
CAN (A),305
CAN (B),5
CC,213
CC10002,60
CC20003,17
CCC,78
CD,759
CD000,135
CD00006,210
CD0801,62
CE,433
CE00002,360
CE00037,175
CE00702,60
CE0801,65
CE1003,50
CE1004,83
CE800,52
CE90002,506
CEA0003,21
CEC01,286
CED,135
CEN,404
Center,36
Center2,256
CG1,436
CG2,386
CG3,645
CH,744
CH000,104
CH1001,36
CH13,487
CH2,1
CH9,148
CHG,49
CL,94
CL000,83
CL004,80
CL201,70
CN000,343
CN00038,757
CNC,409
CNENCL,3
CNT,142
CO,226
CO005,37
CO102,145
CO1201,214
CO302,43
COD0001,12
COI,44
CP1401,17
CP1W2,629
CP1W3,1306
CP1W3EX,1
CP1W4,746
CP2W2,669
CP2W3,553
CP2W4,493
CP2W4A,8
CP2W4B,1
CP3W3,201
CP3W3EX,4
CP3W3H7,931
CP3W4,48
CP3W4EC,5
CP3W4H7,444
CS102-1,136
CSH102,6
CSH104,471
CSH114,212
CST,51
CT000NO,375
CT000SO,398
CT10009,66
CU,529
CU1401,80
CU40003,38
CV401,8
CVD,108
CW1,214
CX000,290
D00005,56
