commissioner,Count
Allen-CC1,2865
Allen-CC2,3152
Allen-CC3,2980
Anderson-CC0001,1787
Anderson-CC0002,2279
Anderson-CC0003,1778
Atchison-CC0001,3663
Atchison-CC0002,4133
Atchison-CC0003,4228
Barber-CC01,917
Barber-CC02,1013
Barber-CC03,951
Barton-CC1,3748
Barton-CC2,3090
Barton-CC3,2841
Barton-CC4,3736
Barton-CC5,3586
Bourbon-CC0001,2842
Bourbon-CC0002,3143
Bourbon-CC0003,2155
Bourbon-CC0004,2888
Bourbon-CC0005,1723
Brown-CC0001,2550
Brown-CC0002,2121
Brown-CC0003,2051
Butler-CC01,10693
Butler-CC02,9437
Butler-CC03,9428
Butler-CC04,9185
Butler-CC05,10829
Chase-CC1,624
Chase-CC2,670
Chase-CC3,579
Chautauqua-CC0001,632
Chautauqua-CC0002,869
Chautauqua-CC0003,815
Cherokee-CCCK1,5351
Cherokee-CCCK2,5000
Cherokee-CCCK3,5307
Cheyenne-CC1,488
Cheyenne-CC2,694
Cheyenne-CC3,846
Clark-CC1,505
Clark-CC2,409
Clark-CC3,656
Clay-CC01,1962
Clay-CC02,1935
Clay-CC03,2161
Cloud-CC1,1974
Cloud-CC2,1929
Cloud-CC3,1986
Coffey-CC1,1176
Coffey-CC2,1212
Coffey-CC3,1333
Coffey-CC4,1146
Coffey-CC5,1358
Comanche-CC0001,314
Comanche-CC0002,392
Comanche-CC0003,421
Cowley-CC0001,7194
Cowley-CC0002,6041
Cowley-CC0003,7276
Crawford-CC1,9697
Crawford-CC2,9428
Crawford-CC3,8847
Decatur-CC0001,645
Decatur-CC0002,705
Decatur-CC0003,686
Dickinson-CC0001,4418
Dickinson-CC0002,4615
Dickinson-CC0003,4896
Doniphan-CC0001,1539
Doniphan-CC0002,1764
Doniphan-CC0003,1788
Douglas-CC001,18497
Douglas-CC002,12488
Douglas-CC003,17641
Douglas-CC004,16088
Douglas-CC005,16208
Edwards-CC0001,632
Edwards-CC0002,596
Edwards-CC0003,649
Elk-CC0001,581
Elk-CC0002,656
Elk-CC0003,641
Ellis-CC1,6578
Ellis-CC2,6959
Ellis-CC3,7007
Ellsworth-CC0001,1152
Ellsworth-CC0002,1415
Ellsworth-CC0003,1331
Finney-CC1,3633
Finney-CC2,4610
Finney-CC3,4912
Finney-CC4,3806
Finney-CC5,3929
Ford-CC0001,4674
Ford-CC0002,6302
Ford-CC0003,5826
Franklin-CC01,3745
Franklin-CC02,4099
Franklin-CC03,4083
Franklin-CC04,3528
Franklin-CC05,3976
Geary-CC0001,7980
Geary-CC0002,7067
Geary-CC0003,6015
Gove-CC01,690
Gove-CC02,591
Gove-CC03,651
Graham-CC1,446
Graham-CC2,785
Graham-CC3,585
Grant-CC1,1387
Grant-CC2,1378
Grant-CC3,1053
Gray-CC0001,1272
Gray-CC0002,1287
Gray-CC0003,840
"Greeley-CC01,CC03",566
"Greeley-CC02,CC03",331
Greenwood-CC0001,912
Greenwood-CC0002,685
Greenwood-CC0003,1170
Greenwood-CC0004,880
Greenwood-CC0005,976
Hamilton-CC1,322
Hamilton-CC2,230
Hamilton-CC3,294
Hamilton-CC4,197
Hamilton-CC5,307
Harper-CC1,1427
Harper-CC2,1238
Harper-CC3,1204
Harvey-CC0001,7552
Harvey-CC0002,7605
Harvey-CC0003,7784
Haskell-CC1,943
Haskell-CC2,721
Haskell-CC3,548
Hodgeman-CC01,273
Hodgeman-CC02,242
Hodgeman-CC03,243
Hodgeman-CC04,251
Hodgeman-CC05,283
Jackson-CC0001,3076
Jackson-CC0002,3169
Jackson-CC0003,3228
Jefferson-CC01,4988
Jefferson-CC02,5039
Jefferson-CC03,4039
Jewell-CC0001,720
Jewell-CC0002,726
Jewell-CC0003,738
Johnson-CC1,81190
Johnson-CC2,79855
Johnson-CC3,84149
Johnson-CC4,75293
Johnson-CC5,71440
Johnson-CC6,69329
Kearny-CC1,789
Kearny-CC2,774
Kearny-CC3,678
Kingman-CC1,2211
Kingman-CC2,1588
Kingman-CC3,1798
Kiowa-CC0001,511
Kiowa-CC0002,571
Kiowa-CC0003,458
Labette-CC1,4711
Labette-CC2,4961
Labette-CC3,4046
Lane-CC0001,368
Lane-CC0002,405
Lane-CC0003,365
Leavenworth-CC01,13395
Leavenworth-CC02,11126
Leavenworth-CC03,11915
Leavenworth-CC04,9574
Leavenworth-CC05,10640
Lincoln-CC01,695
Lincoln-CC02,722
Lincoln-CC03,709
Linn-CC0001,2770
Linn-CC0002,2503
Linn-CC0003,2499
Logan-CC0001,878
Logan-CC0002,725
Logan-CC0003,347
Lyon-CC1,6675
Lyon-CC2,7427
Lyon-CC3,6347
Marion-CC01,1467
Marion-CC02,1646
Marion-CC03,1575
Marion-CC04,1825
Marion-CC05,1787
Marshall-CC0001,2653
Marshall-CC0002,2280
Marshall-CC0003,2282
McPherson-CC0001,6881
McPherson-CC0002,5863
McPherson-CC0003,6722
Meade-CC0001,563
Meade-CC0002,1457
Meade-CC0003,1003
Miami-CC1,5338
Miami-CC2,5236
Miami-CC3,4293
Miami-CC4,5679
Miami-CC5,5364
Mitchell-CC0001,1523
Mitchell-CC0002,1664
Mitchell-CC0003,1088
Montgomery-CC01,7490
Montgomery-CC02,7441
Montgomery-CC03,6449
Morris-CC1,1411
Morris-CC2,1288
Morris-CC3,1333
Morton-CC1,692
Morton-CC2,680
Morton-CC3,658
Nemaha-CC0001,2332
Nemaha-CC0002,2480
Nemaha-CC0003,2576
Neosho-CC1,3920
Neosho-CC2,3496
Neosho-CC3,4290
Ness-CC01,922
Ness-CC02,466
Ness-CC03,568
Norton-CC01,1183
Norton-CC02,1045
Norton-CC03,1234
Osage- ,295
Osage-CC01,4180
Osage-CC02,4323
Osage-CC03,3814
Osborne-CC0001,948
Osborne-CC0002,1092
Osborne-CC0003,601
Ottawa-CC0001,1442
Ottawa-CC0002,1268
Ottawa-CC0003,1231
Pawnee-CC0001,1724
Pawnee-CC0002,1026
Pawnee-CC0003,1192
Phillips-CC0001,1339
Phillips-CC0002,1247
Phillips-CC0003,1445
Pottawatomie-CC01,3925
Pottawatomie-CC02,4046
Pottawatomie-CC03,3785
Pottawatomie-CC04,3257
Pottawatomie-CC05,3631
Pratt-CC0001,1716
Pratt-CC0002,1936
Pratt-CC0003,2096
Rawlins-CC1,616
Rawlins-CC2,764
Rawlins-CC3,626
Reno-CC0001,9327
Reno-CC0002,7810
Reno-CC0003,9328
Reno-CC0004,9088
Reno-CC0005,7386
Republic-CC1,1230
Republic-CC2,1069
Republic-CC3,1242
Rice-CC01,1965
Rice-CC02,2291
Rice-CC03,2314
Riley-CC001,12915
Riley-CC002,11993
Riley-CC003,14279
Rooks-CC0001,1278
Rooks-CC0002,1184
Rooks-CC0003,1242
Rush-CC0001,934
Rush-CC0002,699
Rush-CC0003,594
Russell-CC1,861
Russell-CC2,991
Russell-CC3,939
Russell-CC4,835
Russell-CC5,941
Saline-CC1,7266
Saline-CC2,8756
Saline-CC3,7728
Saline-CC4,7044
Saline-CC5,6832
Scott-CC0001,1116
Scott-CC0002,1026
Scott-CC0003,1369
Sedgwick-CC1,74592
Sedgwick-CC2,61468
Sedgwick-CC3,76741
Sedgwick-CC4,64688
Sedgwick-CC5,64428
Seward-CC0001,1833
Seward-CC0002,1929
Seward-CC0003,2279
Seward-CC0004,2309
Seward-CC0005,2976
Shawnee-CC1,40664
Shawnee-CC2,32910
Shawnee-CC3,41814
Sheridan-CC0001,765
Sheridan-CC0002,598
Sheridan-CC0003,475
Sherman-CC01,1283
Sherman-CC02,1431
Sherman-CC03,1040
Smith-CC0001,971
Smith-CC0002,965
Smith-CC0003,911
Stafford-CC01,881
Stafford-CC02,847
Stafford-CC03,940
Stanton-CC1,328
Stanton-CC2,440
Stanton-CC3,302
Stevens-CC1,989
Stevens-CC2,1133
Stevens-CC3,1250
Sumner-CC0001,6117
Sumner-CC0002,5565
Sumner-CC0003,5638
Thomas-CC1,1653
Thomas-CC2,2158
Thomas-CC3,1634
Trego-CC0001,718
Trego-CC0002,691
Trego-CC0003,649
Wabaunsee-CC01,1723
Wabaunsee-CC02,1533
Wabaunsee-CC03,2125
Wallace-CCWA1,443
Wallace-CCWA2,314
Wallace-CCWA3,362
Washington-CC0001,1324
Washington-CC0002,1182
Washington-CC0003,1139
Wichita-CC0001,425
Wichita-CC0002,530
Wichita-CC0003,275
Wilson-CC0001,1589
Wilson-CC0002,1835
Wilson-CC0003,1610
Woodson-CC0001,565
Woodson-CC0002,900
Woodson-CC0003,759
Wyandotte-CC1,11215
Wyandotte-CC2,7569
Wyandotte-CC3,11100
Wyandotte-CC4,8561
Wyandotte-CC5,15971
Wyandotte-CC6,11739
Wyandotte-CC7,14030
Wyandotte-CC8,12342
